,name_buy,price_buy,price_sell,postcode_buy,link_buy,postcode_sell,link_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name
8685,Ford Focus,8900,5995,MK3 6JS,https://www.autotrader.co.uk/car-details/202305127295565,DT2 7LU,https://www.autotrader.co.uk/car-details/202305237685545,59391.0,99000.0,1.5,1.5,-4842.400363691469,700.7899306686566,637.7089919084352
780,Ford Fiesta,5750,3440,MK3 6JS,https://www.autotrader.co.uk/car-details/202302064004534,DT2 7LU,https://www.autotrader.co.uk/car-details/202304176383938,65000.0,103041.0,1.6,1.2,-4882.558153846155,700.7899306686566,752.994263020137
6516,Ford Fiesta,8100,6490,MK3 6JS,https://www.autotrader.co.uk/car-details/202304296831353,DT2 7LU,https://www.autotrader.co.uk/car-details/202304236579238,37000.0,70300.0,1.6,1.0,-4894.400000000001,700.7899306686566,752.994263020137
3689,Ford Fiesta,9295,6500,MK3 6JS,https://www.autotrader.co.uk/car-details/202305026905117,DT2 7LU,https://www.autotrader.co.uk/car-details/202305057034959,45772.0,60125.0,1.6,1.2,-4895.259838620409,700.7899306686566,752.994263020137
8636,Ford Focus,8995,5295,MK3 6JS,https://www.autotrader.co.uk/car-details/202305227661445,DT2 7LU,https://www.autotrader.co.uk/car-details/202305247737382,57000.0,121750.0,1.0,1.6,-4939.418859649123,700.7899306686566,637.7089919084352
6583,Ford Fiesta,8990,7495,MK3 6JS,https://www.autotrader.co.uk/car-details/202305247725659,DT2 7LU,https://www.autotrader.co.uk/car-details/202303165299398,13278.0,70500.0,1.0,1.6,-4961.096362403976,700.7899306686566,752.994263020137
9757,Ford Fiesta,9499,6222,MK3 6JS,https://www.autotrader.co.uk/car-details/202304296805719,DT2 7LU,https://www.autotrader.co.uk/car-details/202303195398569,34151.0,78048.0,1.0,1.5,-4992.792714708207,700.7899306686566,752.994263020137
1916,Ford Focus,6895,3995,MK3 6JS,https://www.autotrader.co.uk/car-details/202304166341421,DT2 7LU,https://www.autotrader.co.uk/car-details/202304296811929,80000.0,111000.0,2.0,1.6,-5029.6875,700.7899306686566,637.7089919084352
3609,Ford Fiesta,8495,6495,MK3 6JS,https://www.autotrader.co.uk/car-details/202305167443225,DT2 7LU,https://www.autotrader.co.uk/car-details/202305057037968,36000.0,68000.0,1.6,1.2,-5037.037037037037,700.7899306686566,752.994263020137
7085,Ford Kuga,9850,7550,MK3 6JS,https://www.autotrader.co.uk/car-details/202305157403507,DT2 7LU,https://www.autotrader.co.uk/car-details/202305157401379,45387.0,99900.0,2.0,2.0,-5062.462819750149,700.7899306686566,485.8293160516598
9547,Ford Fiesta,9280,6222,MK3 6JS,https://www.autotrader.co.uk/car-details/202303255627571,DT2 7LU,https://www.autotrader.co.uk/car-details/202303195398569,31224.0,78048.0,1.0,1.5,-5095.883166794773,700.7899306686566,752.994263020137
7098,Ford Kuga,10000,7756,MK3 6JS,https://www.autotrader.co.uk/car-details/202305057063100,DT2 7LU,https://www.autotrader.co.uk/car-details/202305227642312,44440.0,101293.0,2.0,2.0,-5114.79504950495,700.7899306686566,485.8293160516598
6461,Ford Fiesta,9995,9200,MK3 6JS,https://www.autotrader.co.uk/car-details/202304296826141,DT2 7LU,https://www.autotrader.co.uk/car-details/202305057062835,9375.0,60380.0,1.0,1.0,-5120.224,700.7899306686566,752.994263020137
8668,Ford Focus,7995,5295,MK3 6JS,https://www.autotrader.co.uk/car-details/202304156323284,DT2 7LU,https://www.autotrader.co.uk/car-details/202305247737382,59700.0,121750.0,1.5,1.6,-5162.138819095478,700.7899306686566,637.7089919084352
8806,Ford Focus,7995,5250,MK3 6JS,https://www.autotrader.co.uk/car-details/202303305776174,DT2 7LU,https://www.autotrader.co.uk/car-details/202305197571500,68457.0,129026.0,1.5,1.5,-5173.705683859942,700.7899306686566,637.7089919084352
720,Ford Fiesta,6000,3440,MK3 6JS,https://www.autotrader.co.uk/car-details/202305047015046,DT2 7LU,https://www.autotrader.co.uk/car-details/202304176383938,50803.0,103041.0,1.2,1.2,-5192.310690313565,700.7899306686566,752.994263020137
2168,Ford KA,4490,2491,MK3 6JS,https://www.autotrader.co.uk/car-details/202302164325687,DT2 7LU,https://www.autotrader.co.uk/car-details/202305237688278,37000.0,96533.0,1.2,1.2,-5215.391,700.7899306686566,470.51024855580664
