,name_buy,price_buy,price_sell,postcode_buy,link_buy,postcode_sell,link_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name
439,Citroen C3,3195,2495,MK3 6JS,https://www.autotrader.co.uk/car-details/202305187518753,DT2 7LU,https://www.autotrader.co.uk/car-details/202305257788402,61371.0,109000.0,1.4,1.4,-1243.2582164214368,416.30676721031426,-440.8516615748987
10484,Citroen C1,7499,6990,MK3 6JS,https://www.autotrader.co.uk/car-details/202305117274538,DT2 7LU,https://www.autotrader.co.uk/car-details/202301273672100,12750.0,44000.0,1.0,1.2,-1463.7908496732027,416.30676721031426,677.7478629675197
8505,Citroen DS3,8000,6990,MK3 6JS,https://www.autotrader.co.uk/car-details/202302144248783,DT2 7LU,https://www.autotrader.co.uk/car-details/202305107211668,41000.0,47000.0,1.6,1.2,-1543.739837398374,416.30676721031426,334.4031870987111
10483,Citroen C1,7499,6990,MK3 6JS,https://www.autotrader.co.uk/car-details/202305117274538,DT2 7LU,https://www.autotrader.co.uk/car-details/202303235535530,12750.0,39000.0,1.0,1.0,-1556.941176470588,416.30676721031426,677.7478629675197
10466,Citroen C1,6690,5995,MK3 6JS,https://www.autotrader.co.uk/car-details/202303054922054,DT2 7LU,https://www.autotrader.co.uk/car-details/202304176358141,21000.0,51000.0,1.0,1.0,-1687.8571428571427,416.30676721031426,677.7478629675197
451,Citroen DS3,4495,2995,MK3 6JS,https://www.autotrader.co.uk/car-details/202301173348633,DT2 7LU,https://www.autotrader.co.uk/car-details/202302084078439,83812.0,95000.0,1.6,1.6,-1700.2338567269603,416.30676721031426,334.4031870987111
10501,Citroen C4 Cactus,8949,7750,MK3 6JS,https://www.autotrader.co.uk/car-details/202304206474127,DT2 7LU,https://www.autotrader.co.uk/car-details/202305187507546,46457.0,67327.0,1.6,1.6,-1737.6299158361496,416.30676721031426,319.2376486966753
5587,Citroen DS3,7499,6250,MK3 6JS,https://www.autotrader.co.uk/car-details/202303034851777,DT2 7LU,https://www.autotrader.co.uk/car-details/202304186425397,39843.0,55720.0,1.6,1.6,-1746.712847928118,416.30676721031426,334.4031870987111
448,Citroen DS3,4000,2995,MK3 6JS,https://www.autotrader.co.uk/car-details/202305227637104,DT2 7LU,https://www.autotrader.co.uk/car-details/202302084078439,52400.0,95000.0,1.6,1.6,-1822.0419847328244,416.30676721031426,334.4031870987111
10479,Citroen C1,7499,6990,MK3 6JS,https://www.autotrader.co.uk/car-details/202305117274538,DT2 7LU,https://www.autotrader.co.uk/car-details/202305057040735,12750.0,48000.0,1.0,1.0,-1916.235294117647,416.30676721031426,677.7478629675197
5591,Citroen DS3,6250,4995,MK3 6JS,https://www.autotrader.co.uk/car-details/202304186425397,DT2 7LU,https://www.autotrader.co.uk/car-details/202305157387792,55720.0,89000.0,1.6,1.6,-2004.5764536970566,416.30676721031426,334.4031870987111
6721,Citroen Grand C4 Picasso,9990,8777,MK3 6JS,https://www.autotrader.co.uk/car-details/202304256637841,DT2 7LU,https://www.autotrader.co.uk/car-details/202305147362817,44000.0,73807.0,1.6,1.6,-2034.7247954545455,416.30676721031426,933.591264553687
5155,Citroen C4 Picasso,7695,5750,MK3 6JS,https://www.autotrader.co.uk/car-details/202305097186662,DT2 7LU,https://www.autotrader.co.uk/car-details/202304055992182,63000.0,73185.0,1.6,1.6,-2259.4416666666666,416.30676721031426,-468.41801701039344
8506,Citroen DS3,8000,6295,MK3 6JS,https://www.autotrader.co.uk/car-details/202302144248783,DT2 7LU,https://www.autotrader.co.uk/car-details/202301263630689,41000.0,56000.0,1.6,1.6,-2328.7804878048782,416.30676721031426,334.4031870987111
5158,Citroen C4 Picasso,5750,3895,MK3 6JS,https://www.autotrader.co.uk/car-details/202304055992182,DT2 7LU,https://www.autotrader.co.uk/car-details/202305227640610,73185.0,93181.0,1.6,1.6,-2361.8330942132948,416.30676721031426,-468.41801701039344
8498,Citroen DS3,6795,4990,MK3 6JS,https://www.autotrader.co.uk/car-details/202303054926392,DT2 7LU,https://www.autotrader.co.uk/car-details/202304216521978,50000.0,93730.0,1.2,1.6,-2537.7397499999997,416.30676721031426,334.4031870987111
452,Citroen DS3,4590,2995,MK3 6JS,https://www.autotrader.co.uk/car-details/202305087132594,DT2 7LU,https://www.autotrader.co.uk/car-details/202302084078439,59200.0,95000.0,1.6,1.6,-2559.543918918919,416.30676721031426,334.4031870987111
4219,Citroen DS3,6995,5495,MK3 6JS,https://www.autotrader.co.uk/car-details/202303255609195,DT2 7LU,https://www.autotrader.co.uk/car-details/202304146276454,29000.0,58000.0,1.6,1.6,-3000.0,416.30676721031426,334.4031870987111
10464,Citroen C1,6690,5600,MK3 6JS,https://www.autotrader.co.uk/car-details/202303054922054,DT2 7LU,https://www.autotrader.co.uk/car-details/202305067085473,21000.0,58315.0,1.0,1.0,-3026.8261904761907,416.30676721031426,677.7478629675197
2720,Citroen C3,4995,2650,MK3 6JS,https://www.autotrader.co.uk/car-details/202305097176969,DT2 7LU,https://www.autotrader.co.uk/car-details/202305237691325,74600.0,97953.0,1.4,1.4,-3079.0855898123323,416.30676721031426,-440.8516615748987
8507,Citroen DS3,8000,5800,MK3 6JS,https://www.autotrader.co.uk/car-details/202302144248783,DT2 7LU,https://www.autotrader.co.uk/car-details/202305097186437,41000.0,63000.0,1.6,1.6,-3380.487804878049,416.30676721031426,334.4031870987111
5590,Citroen DS3,7499,5295,MK3 6JS,https://www.autotrader.co.uk/car-details/202303034851777,DT2 7LU,https://www.autotrader.co.uk/car-details/202305157407085,39843.0,65500.0,1.6,1.6,-3623.271340009537,416.30676721031426,334.4031870987111
5588,Citroen DS3,7499,5450,MK3 6JS,https://www.autotrader.co.uk/car-details/202303034851777,DT2 7LU,https://www.autotrader.co.uk/car-details/202304286786730,39843.0,75000.0,1.6,1.6,-3857.0137790829003,416.30676721031426,334.4031870987111
8504,Citroen DS3,8000,5980,MK3 6JS,https://www.autotrader.co.uk/car-details/202302144248783,DT2 7LU,https://www.autotrader.co.uk/car-details/202305097191715,41000.0,79000.0,1.6,1.6,-3892.1951219512193,416.30676721031426,334.4031870987111
10473,Citroen C1,7300,5995,MK3 6JS,https://www.autotrader.co.uk/car-details/202305177479063,DT2 7LU,https://www.autotrader.co.uk/car-details/202304176358141,15874.0,51000.0,1.0,1.0,-4192.7050522867585,416.30676721031426,677.7478629675197
7361,Citroen C3,6700,4350,MK3 6JS,https://www.autotrader.co.uk/car-details/202305127313834,DT2 7LU,https://www.autotrader.co.uk/car-details/202305057047462,40262.0,62000.0,1.4,1.2,-4221.92969383869,416.30676721031426,-440.8516615748987
5585,Citroen DS3,7499,4995,MK3 6JS,https://www.autotrader.co.uk/car-details/202303034851777,DT2 7LU,https://www.autotrader.co.uk/car-details/202305157387792,39843.0,89000.0,1.6,1.6,-5593.353914112893,416.30676721031426,334.4031870987111
