,name_buy,price_buy,price_sell,postcode_buy,postcode_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name,link_buy,link_sell
9527,Ford Fiesta,8499,9289,MK3 6JS,DT2 7LU,43666.0,31532.0,1.0,1.0,570.473136994458,722.8608854553976,790.4879505203895,https://www.autotrader.co.uk/car-details/202304276759828,https://www.autotrader.co.uk/car-details/202305127308121
6088,Honda Civic,8811,9250,MK3 6JS,DT2 7LU,60000.0,77967.0,1.6,1.6,570.45855,1100.690602499355,1235.9387125881021,https://www.autotrader.co.uk/car-details/202305197571441,https://www.autotrader.co.uk/car-details/202301113157277
9030,Fiat 500,6095,7790,MK3 6JS,DT2 7LU,62000.0,20840.0,1.2,1.2,569.7387096774194,252.93659626935664,210.21562539784054,https://www.autotrader.co.uk/car-details/202303225509076,https://www.autotrader.co.uk/car-details/202303295757745
1750,Fiat 500,4250,4999,MK3 6JS,DT2 7LU,77743.0,59133.0,1.2,1.2,569.7055297583062,252.93659626935664,210.21562539784054,https://www.autotrader.co.uk/car-details/202304035917495,https://www.autotrader.co.uk/car-details/202304096118675
4871,Peugeot 107,3790,8450,MK3 6JS,DT2 7LU,75865.0,9264.0,1.0,1.0,569.0402688987017,562.1199314888854,824.2858348466739,https://www.autotrader.co.uk/car-details/202305177487187,https://www.autotrader.co.uk/car-details/202302144250432
10203,Nissan Juke,8995,9799,MK3 6JS,DT2 7LU,53000.0,37498.0,1.5,1.5,568.8375849056604,482.0798915413159,388.9344190345222,https://www.autotrader.co.uk/car-details/202303295732838,https://www.autotrader.co.uk/car-details/202304156311448
6733,Ford Fiesta,6695,7495,MK3 6JS,DT2 7LU,62000.0,70500.0,1.0,1.6,568.5483870967743,722.8608854553976,790.4879505203895,https://www.autotrader.co.uk/car-details/202305107215464,https://www.autotrader.co.uk/car-details/202303165299398
7943,Vauxhall Corsa,6000,7150,MK3 6JS,DT2 7LU,88108.0,50807.0,1.2,1.4,568.4067929618844,575.9489604687036,619.1279642031584,https://www.autotrader.co.uk/car-details/202305187529868,https://www.autotrader.co.uk/car-details/202305047010371
1904,Ford Fiesta,5995,6550,MK3 6JS,DT2 7LU,53500.0,73000.0,1.2,1.6,567.9672897196261,722.8608854553976,790.4879505203895,https://www.autotrader.co.uk/car-details/202305197569142,https://www.autotrader.co.uk/car-details/202305127296110
6359,Peugeot 308,7000,8295,MK3 6JS,DT2 7LU,74414.0,32626.0,1.6,1.6,567.7785094202703,562.1199314888854,889.3343952693906,https://www.autotrader.co.uk/car-details/202302164314860,https://www.autotrader.co.uk/car-details/202304226562340
8046,Vauxhall Corsa,6790,7489,MK3 6JS,DT2 7LU,63000.0,51058.0,1.4,1.4,566.5006666666667,575.9489604687036,619.1279642031584,https://www.autotrader.co.uk/car-details/202305217618479,https://www.autotrader.co.uk/car-details/202305197563953
327,MINI Hatch,4495,4890,MK3 6JS,DT2 7LU,48867.0,70000.0,1.6,1.6,565.8215155421859,253.1717803535523,273.30048371430587,https://www.autotrader.co.uk/car-details/202305157376535,https://www.autotrader.co.uk/car-details/202305227654165
195,Ford Fiesta,5202,6972,MK3 6JS,DT2 7LU,74000.0,27000.0,1.4,1.6,565.0844594594594,722.8608854553976,790.4879505203895,https://www.autotrader.co.uk/car-details/202303155262910,https://www.autotrader.co.uk/car-details/202303135188456
8384,Nissan Qashqai,8750,9500,MK3 6JS,DT2 7LU,82000.0,61775.0,1.2,1.2,565.015243902439,482.0798915413159,591.7110406498663,https://www.autotrader.co.uk/car-details/202305237681371,https://www.autotrader.co.uk/car-details/202305237700993
