,name_sell,link_sell,price_sell,seller_sell,year_sell,body_sell,mileage_sell,engine_sell,BHP_sell,transmission_sell,fuel_sell,owners_sell,brand_sell,postcode_sell
242,BMW 3 Series,https://www.autotrader.co.uk/car-details/202305137336022,6250,4.7 (124 reviews),2008,Convertible,70000.0,2.0,,Manual,Petrol,,BMW,DT1 3GJ
243,Renault Clio,https://www.autotrader.co.uk/car-details/202302204459170,1695,5.0 (2 reviews) yeovil (18 miles),2008,Hatchback,118000.0,1.2,75.0,Manual,Petrol,,Renault,DT1 3GJ
244,Honda Jazz,https://www.autotrader.co.uk/car-details/202305097164696,3650,4.1 (19 reviews) bournemouth (25 miles),2008,Hatchback,107000.0,1.4,82.0,Automatic,Petrol,6.0,Honda,DT1 3GJ
245,Ford Kuga,https://www.autotrader.co.uk/car-details/202304156322095,3990,4.7 (124 reviews),2008,SUV,96000.0,2.0,,Manual,Diesel,,Ford,DT1 3GJ
246,Mercedes-Benz B Class,https://www.autotrader.co.uk/car-details/202305127300378,3695,4.5 (34 reviews) bournemouth (29 miles),2008,MPV,107000.0,2.0,109.0,Automatic,Diesel,,Mercedes-Benz,DT1 3GJ
247,Vauxhall Meriva,https://www.autotrader.co.uk/car-details/202304296825385,1995,4.4 (14 reviews) bournemouth (29 miles),2008,MPV,91000.0,1.6,104.0,Manual,Petrol,,Vauxhall,DT1 3GJ
248,Peugeot 407 SW,https://www.autotrader.co.uk/car-details/202303064956452,1990,3.9 (11 reviews) poole (22 miles),2008,Estate,112000.0,1.8,125.0,Manual,Petrol,4.0,Peugeot,DT1 3GJ
249,Mercedes-Benz B Class,https://www.autotrader.co.uk/car-details/202304246611190,3790,4.5 (85 reviews),2008,MPV,99500.0,2.0,140.0,Automatic,Diesel,5.0,Mercedes-Benz,DT1 3GJ
250,MINI Convertible,https://www.autotrader.co.uk/car-details/202304146288216,4490,4.6 (331 reviews),2008,Convertible,50000.0,1.6,,Manual,Petrol,,MINI,DT1 3GJ
251,Mitsubishi Colt,https://www.autotrader.co.uk/car-details/202305147351869,1900,bournemouth (27 miles),2008,Hatchback,76000.0,1.1,74.0,Manual,Petrol,4.0,Mitsubishi,DT1 3GJ
252,Citroen C5,https://www.autotrader.co.uk/car-details/202305127320421,1875,chard (25 miles),2008,Saloon,125000.0,,,Manual,Diesel,7.0,Citroen,DT1 3GJ
253,Ford Fiesta,https://www.autotrader.co.uk/car-details/202304296822757,1030,seaton (27 miles),2008,Hatchback,126000.0,1.4,67.0,Manual,Diesel,3.0,Ford,DT1 3GJ
254,MINI Clubman,https://www.autotrader.co.uk/car-details/202211191829622,4950,4.6 (23 reviews) poole (23 miles),2008,Estate,99000.0,1.6,,Manual,Petrol,,MINI,DT1 3GJ
255,Volkswagen Golf,https://www.autotrader.co.uk/car-details/202305107209664,4295,yeovil (23 miles),2008,Hatchback,100000.0,2.0,138.0,Manual,Diesel,,Volkswagen,DT1 3GJ
256,Toyota Yaris,https://www.autotrader.co.uk/car-details/202303125163989,2590,4.6 (163 reviews),2008,Hatchback,108000.0,1.8,131.0,Manual,Petrol,,Toyota,DT1 3GJ
257,Jaguar X-Type,https://www.autotrader.co.uk/car-details/202304176368125,2990,4.6 (331 reviews),2008,Saloon,77000.0,2.0,128.0,Manual,Diesel,,Jaguar,DT1 3GJ
258,Toyota Aygo,https://www.autotrader.co.uk/car-details/202305117260240,2650,bournemouth (25 miles),2008,Hatchback,86357.0,1.0,,Manual,Petrol,3.0,Toyota,DT1 3GJ
259,SKODA Fabia,https://www.autotrader.co.uk/car-details/202303034876127,2995,5.0 (2 reviews) yeovil (18 miles),2008,Hatchback,92000.0,1.9,105.0,Manual,Diesel,,SKODA,DT1 3GJ
