,name_2,link_2,price_2,seller_2,year_2,body_2,mileage_2,engine_2,BHP_2,transmission_2,fuel_2,owners_2,brand_2,postcode_2
0,Ford Focus,https://www.autotrader.co.uk/car-details/202305097160353,1250,4.7 (45 reviews) bournemouth (26 miles),2005,Estate,107000.0,1.6,99.0,Manual,Petrol,,Ford,DT1 3GJ
1,Volkswagen Polo,https://www.autotrader.co.uk/car-details/202303305782256,2995,4.7 (100 reviews) ringwood (29 miles),2005,Hatchback,81330.0,1.4,74.0,Automatic,Petrol,,Volkswagen,DT1 3GJ
2,Renault Kangoo,https://www.autotrader.co.uk/car-details/202304186404459,2490,4.6 (331 reviews),2005,MPV,73000.0,1.5,83.0,Manual,Diesel,,Renault,DT1 3GJ
3,Volvo V50,https://www.autotrader.co.uk/car-details/202305047014191,4990,4.9 (52 reviews),2005,Estate,57036.0,2.0,136.0,Manual,Diesel,2.0,Volvo,DT1 3GJ
4,Peugeot 206,https://www.autotrader.co.uk/car-details/202305107224521,2490,4.6 (331 reviews),2005,Hatchback,45000.0,1.1,60.0,Manual,Petrol,,Peugeot,DT1 3GJ
5,MINI Convertible,https://www.autotrader.co.uk/car-details/202304306842027,2490,langport (26 miles),2005,Convertible,96312.0,1.6,,Manual,Petrol,5.0,MINI,DT1 3GJ
6,Volkswagen Polo,https://www.autotrader.co.uk/car-details/202305107216482,2995,5.0 (154 reviews) poole (18 miles),2005,Hatchback,96000.0,1.2,55.0,Manual,Petrol,4.0,Volkswagen,DT1 3GJ
7,Nissan 350 Z,https://www.autotrader.co.uk/car-details/202302033900024,8995,weymouth (7 miles),2005,Coupe,50000.0,3.5,276.0,Manual,Petrol,,Nissan,DT1 3GJ
8,Hyundai Coupe,https://www.autotrader.co.uk/car-details/202303315836586,2490,4.8 (117 reviews),2005,Coupe,89000.0,1.6,103.0,Manual,Petrol,,Hyundai,DT1 3GJ
9,MINI Convertible,https://www.autotrader.co.uk/car-details/202304146276631,2990,4.6 (331 reviews),2005,Convertible,62000.0,1.6,,Manual,Petrol,,MINI,DT1 3GJ
10,Mercedes-Benz E-Class,https://www.autotrader.co.uk/car-details/202305026912418,2495,poole (23 miles),2005,Saloon,150000.0,2.7,177.0,Automatic,Diesel,,Mercedes-Benz,DT1 3GJ
