,name_1,link_1,price_1,seller_1,year_1,body_1,mileage_1,engine_1,BHP_1,transmission_1,fuel_1,owners_1,brand_1,postcode_1
346,Mazda MX-5,https://www.autotrader.co.uk/car-details/202305047010226,3500,milton keynes (7 miles),2008,Convertible,103500,1.8,,Manual,Petrol,4.0,Mazda,MK3 6JS
347,Audi TTS,https://www.autotrader.co.uk/car-details/202205316346475,8760,milton keynes (3 miles),2008,Coupe,120000,2.0,,Manual,Petrol,,Audi,MK3 6JS
348,Lexus GS 450h,https://www.autotrader.co.uk/car-details/202304246627256,4399,milton keynes (4 miles),2008,Saloon,169000,3.5,,Automatic,Petrol Hybrid,3.0,Lexus,MK3 6JS
349,Toyota Aygo,https://www.autotrader.co.uk/car-details/202302254622652,4995,4.9 (32 reviews) milton keynes (5 miles),2008,Hatchback,96729,1.0,67.0,Automatic,Petrol,3.0,Toyota,MK3 6JS
350,Honda Jazz,https://www.autotrader.co.uk/car-details/202301283699278,4999,3.8 (34 reviews) leighton buzzard (9 miles),2008,Hatchback,38300,1.4,82.0,Automatic,Petrol,3.0,Honda,MK3 6JS
351,Toyota Estima,https://www.autotrader.co.uk/car-details/202210180850232,7999,4.8 (71 reviews) leighton buzzard (8 miles),2008,MPV,69616,2.4,,Automatic,,,Toyota,MK3 6JS
352,Volkswagen Golf,https://www.autotrader.co.uk/car-details/202303075000068,7999,milton keynes (10 miles),2008,Hatchback,109000,3.2,247.0,Manual,Petrol,,Volkswagen,MK3 6JS
353,Peugeot 207 SW,https://www.autotrader.co.uk/car-details/202304206489729,2999,4.6 (34 reviews) milton keynes (7 miles),2008,Estate,67590,1.6,120.0,Automatic,Petrol,2.0,Peugeot,MK3 6JS
354,SKODA Fabia,https://www.autotrader.co.uk/car-details/202304256649663,3750,4.9 (32 reviews) milton keynes (5 miles),2008,Hatchback,64756,1.2,70.0,Manual,Petrol,6.0,SKODA,MK3 6JS
355,Dodge Caliber,https://www.autotrader.co.uk/car-details/202303105116065,3250,4.6 (34 reviews) milton keynes (7 miles),2008,Hatchback,61011,2.0,154.0,Automatic,Petrol,3.0,Dodge,MK3 6JS
356,Hyundai Santa Fe,https://www.autotrader.co.uk/car-details/202202112437143,4690,4.7 (118 reviews) milton keynes (4 miles),2008,SUV,104923,2.2,,Automatic,Diesel,3.0,Hyundai,MK3 6JS
357,Mercedes-Benz E Class,https://www.autotrader.co.uk/car-details/202207087608524,4000,milton keynes (3 miles),2008,Saloon,187150,2.1,170.0,Automatic,Diesel,5.0,Mercedes-Benz,MK3 6JS
358,Audi TT,https://www.autotrader.co.uk/car-details/202305026923833,4875,milton keynes (2 miles),2008,Coupe,97842,,,Manual,Petrol,2.0,Audi,MK3 6JS
359,Honda Jazz,https://www.autotrader.co.uk/car-details/202210301219640,4500,5.0 (30 reviews) leighton buzzard (9 miles),2008,Hatchback,76524,1.4,82.0,Automatic,Petrol,,Honda,MK3 6JS
360,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202304296812628,1490,4.6 (298 reviews) milton keynes (6 miles),2009,Hatchback,64000,1.4,89.0,Manual,Petrol,,Vauxhall,MK3 6JS
361,Peugeot 207,https://www.autotrader.co.uk/car-details/202304156316502,1600,4.7 (51 reviews) milton keynes (3 miles),2009,Hatchback,106150,1.4,,Manual,Petrol,,Peugeot,MK3 6JS
362,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202302264649097,2049,3.7 (61 reviews) milton keynes (7 miles),2009,Hatchback,51000,1.0,59.0,Manual,Petrol,4.0,Vauxhall,MK3 6JS
363,Honda Jazz,https://www.autotrader.co.uk/car-details/202304055996737,1490,5.0 (21 reviews) buckingham (8 miles),2009,Hatchback,166000,1.4,,Manual,Petrol,2.0,Honda,MK3 6JS
364,Fiat 500,https://www.autotrader.co.uk/car-details/202302194427925,2499,3.7 (61 reviews) milton keynes (7 miles),2009,Hatchback,87968,1.2,,Manual,Petrol,4.0,Fiat,MK3 6JS
365,BMW 3 Series,https://www.autotrader.co.uk/car-details/202305036939120,2459,3.7 (61 reviews) milton keynes (7 miles),2009,Estate,146509,2.0,,Automatic,Diesel,8.0,BMW,MK3 6JS
366,MINI Hatch,https://www.autotrader.co.uk/car-details/202302134234823,1495,milton keynes (4 miles),2009,Hatchback,119000,1.4,,Manual,Petrol,3.0,MINI,MK3 6JS
367,Mazda3,https://www.autotrader.co.uk/car-details/202303044889922,1989,4.9 (63 reviews) buckingham (8 miles),2009,Hatchback,137000,1.6,,Manual,Petrol,4.0,Mazda3,MK3 6JS
368,BMW 3 Series,https://www.autotrader.co.uk/car-details/202302134216836,2499,3.7 (61 reviews) milton keynes (7 miles),2009,Estate,148706,2.0,,Manual,Diesel,3.0,BMW,MK3 6JS
369,Renault Scenic,https://www.autotrader.co.uk/car-details/202305077106942,2490,4.6 (298 reviews) milton keynes (6 miles),2009,MPV,105000,1.6,,Manual,Petrol,,Renault,MK3 6JS
370,Saab 9-3,https://www.autotrader.co.uk/car-details/202211151691781,2790,4.6 (298 reviews) milton keynes (6 miles),2009,Estate,120000,1.9,,Manual,Diesel,,Saab,MK3 6JS
371,Hyundai i30,https://www.autotrader.co.uk/car-details/202304266703591,2490,4.6 (298 reviews) milton keynes (6 miles),2009,Hatchback,95000,1.4,,Manual,Petrol,,Hyundai,MK3 6JS
372,Citroen C1,https://www.autotrader.co.uk/car-details/202304045958037,2990,4.8 (116 reviews) bedford (7 miles),2009,Hatchback,48000,1.0,,Manual,Petrol,,Citroen,MK3 6JS
373,Vauxhall Insignia,https://www.autotrader.co.uk/car-details/202305046991377,3390,4.6 (298 reviews) milton keynes (6 miles),2009,Estate,123000,2.0,,Manual,Diesel,,Vauxhall,MK3 6JS
