,name_buy,link_buy,price_buy,seller_buy,year_buy,body_buy,mileage_buy,engine_buy,BHP_buy,transmission_buy,fuel_buy,owners_buy,brand_buy,postcode_buy
1883,Audi A1,https://www.autotrader.co.uk/car-details/202303295749265,5999,5.0 (3 reviews) luton (15 miles),2012.0,Hatchback,111300.0,1.4,,Manual,Petrol,,Audi,MK3 6JS
1884,Volkswagen Sharan,https://www.autotrader.co.uk/car-details/202305267793888,9990,5.0 (27 reviews) bedford (14 miles),2012.0,MPV,97000.0,2.0,,Manual,Diesel,,Volkswagen,MK3 6JS
1885,Ford C-Max,https://www.autotrader.co.uk/car-details/202305227642922,5550,bedford (8 miles),2012.0,MPV,57000.0,1.6,,Manual,Petrol,3.0,Ford,MK3 6JS
1886,Audi A5 Cabriolet,https://www.autotrader.co.uk/car-details/202207207968884,6800,bedford (14 miles),2012.0,Convertible,154000.0,2.0,,Automatic,Diesel,,Audi,MK3 6JS
1887,Toyota Verso,https://www.autotrader.co.uk/car-details/202212212689019,6190,4.6 (12 reviews) luton (16 miles),2012.0,MPV,86369.0,2.0,,Manual,Diesel,3.0,Toyota,MK3 6JS
1888,BMW 1 Series,https://www.autotrader.co.uk/car-details/202304276729850,10000,4.7 (144 reviews),2012.0,Hatchback,51538.0,2.0,,Automatic,Diesel,3.0,BMW,MK3 6JS
1889,Nissan Navara,https://www.autotrader.co.uk/car-details/202305036953553,8995,3.7 (3 reviews) bedford (15 miles),2012.0,Pickup,89000.0,2.5,,Manual,Diesel,2.0,Nissan,MK3 6JS
1890,KIA Ceed,https://www.autotrader.co.uk/car-details/202305197557554,4790,5.0 (10 reviews) luton (17 miles),2012.0,Hatchback,52047.0,1.6,,Manual,Diesel,,KIA,MK3 6JS
1891,Audi A1,https://www.autotrader.co.uk/car-details/202304045954561,4995,4.6 (47 reviews) aylesbury (15 miles),2012.0,Hatchback,112000.0,1.6,,Manual,Diesel,4.0,Audi,MK3 6JS
1892,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202305227662128,6750,4.7 (97 reviews) aylesbury (19 miles),2012.0,Hatchback,37000.0,1.4,,Automatic,Petrol,2.0,Vauxhall,MK3 6JS
1893,Mercedes-Benz E Class,https://www.autotrader.co.uk/car-details/202304035917486,6995,3.8 (155 reviews) shefford (16 miles),2012.0,Saloon,119734.0,3.0,,Automatic,Diesel,,Mercedes-Benz,MK3 6JS
1894,Suzuki Jimny,https://www.autotrader.co.uk/car-details/202304286774981,8472,4.9 (208 reviews),2012.0,SUV,92000.0,1.3,83.0,Manual,Petrol,4.0,Suzuki,MK3 6JS
1895,Mercedes-Benz E Class,https://www.autotrader.co.uk/car-details/202305157403120,9450,4.7 (144 reviews),2012.0,Coupe,66983.0,2.1,,Automatic,Diesel,,Mercedes-Benz,MK3 6JS
1896,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202304186395786,3995,4.7 (20 reviews) newport pagnell (6 miles),2012.0,Hatchback,91000.0,1.2,83.0,Manual,Petrol,,Vauxhall,MK3 6JS
1897,MG TF,https://www.autotrader.co.uk/car-details/202301103126959,9985,4.7 (49 reviews) bedford (15 miles),2012.0,Convertible,22000.0,1.8,134.0,Manual,Petrol,,MG,MK3 6JS
1898,Audi A5 Cabriolet,https://www.autotrader.co.uk/car-details/202305217629942,7795,5.0 (59 reviews) bedford (14 miles),2012.0,Convertible,114000.0,2.0,,Manual,Diesel,5.0,Audi,MK3 6JS
1899,Nissan Note,https://www.autotrader.co.uk/car-details/202303275670103,5400,5.0 (69 reviews) wellingborough (15 miles),2012.0,Hatchback,77330.0,1.6,,Automatic,Petrol,2.0,Nissan,MK3 6JS
1900,Volkswagen Passat,https://www.autotrader.co.uk/car-details/202305137345868,4395,aylesbury (14 miles),2012.0,Estate,140000.0,2.0,,Manual,Diesel,,Volkswagen,MK3 6JS
1901,KIA RIO,https://www.autotrader.co.uk/car-details/202303285699882,3495,4.7 (41 reviews) milton keynes (3 miles),2012.0,Hatchback,112300.0,1.4,,Manual,Petrol,3.0,KIA,MK3 6JS
1902,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202305046991491,6149,5.0 (1131 reviews),2012.0,Hatchback,31000.0,1.2,83.0,Manual,Petrol,,Vauxhall,MK3 6JS
1903,Nissan Leaf,https://www.autotrader.co.uk/car-details/202304236575046,5889,4.6 (128 reviews) bedford (14 miles),2012.0,Hatchback,73213.0,,,Automatic,Electric,,Nissan,MK3 6JS
1904,BMW 3 Series,https://www.autotrader.co.uk/car-details/202304035924162,8999,5.0 (3 reviews) luton (15 miles),2012.0,Saloon,92245.0,2.0,,Automatic,Diesel,3.0,BMW,MK3 6JS
1905,Volkswagen Sharan,https://www.autotrader.co.uk/car-details/202303225498645,8998,5.0 (1131 reviews),2012.0,MPV,84251.0,2.0,142.0,Automatic,Diesel,2.0,Volkswagen,MK3 6JS
1906,Ford S-Max,https://www.autotrader.co.uk/car-details/202302104133321,8980,4.9 (72 reviews) pulloxhill (13 miles),2012.0,MPV,43000.0,1.6,,Manual,Diesel,2.0,Ford,MK3 6JS
1907,Audi TT,https://www.autotrader.co.uk/car-details/202305217612674,9100,luton (13 miles),2012.0,Coupe,86000.0,2.0,,Automatic,Diesel,3.0,Audi,MK3 6JS
1908,Alfa Romeo Giulietta,https://www.autotrader.co.uk/car-details/202305267802909,5995,northampton (18 miles),2012.0,Hatchback,61873.0,1.4,,Manual,Petrol,2.0,Alfa,MK3 6JS
